Date,Confirmed,Deaths,Recovered,Active
2020-07-27,226225,2965,125683,97577
2020-07-28,229185,3000,127414,98771
2020-07-29,232194,3035,130292,98867
2020-07-30,234889,3083,132960,98846
2020-07-31,237661,3111,135136,99414
2020-08-01,239860,3132,136253,100475
2020-08-02,240746,3154,136839,100753
2020-08-03,242102,3184,137905,101013
2020-08-04,244020,3234,139860,100926
2020-08-05,246674,3267,141750,101657
2020-08-06,249651,3306,143824,102521
2020-08-07,252502,3333,145584,103585
2020-08-08,255113,3365,146604,105144
2020-08-09,257600,3399,148370,105831
2020-08-10,260507,3438,150437,106632
2020-08-11,263503,3471,151972,108060
2020-08-12,266498,3513,153089,109896
2020-08-13,269115,3557,154871,110687
2020-08-14,271881,3591,156623,111667
2020-08-15,274525,3625,157635,113265
2020-08-16,276549,3657,158950,113942
2020-08-17,279144,3694,160591,114859
2020-08-18,282344,3740,162825,115779
2020-08-19,285091,3781,165738,115572
2020-08-20,287959,3822,168991,115146
2020-08-21,290360,3861,172615,113884
2020-08-22,292625,3907,175567,113151
2020-08-23,294598,3941,179091,111566
2020-08-24,297083,3983,182875,110225
2020-08-25,299628,4028,186756,108844
2020-08-26,302147,4082,190183,107882
2020-08-27,304583,4127,193458,106998
2020-08-28,306794,4174,196836,105784
2020-08-29,308925,4206,198863,105856
2020-08-30,310822,4248,201907,104667
2020-08-31,312996,4281,204887,103828
2020-09-01,314946,4316,208177,102453
2020-09-02,317528,4351,211016,102161
2020-09-03,319686,4383,213980,101323
2020-09-04,321615,4412,216191,101012
2020-09-05,323565,4447,217852,101266
2020-09-06,325157,4479,221275,99403
2020-09-07,327359,4516,224573,98270
2020-09-08,329251,4552,227809,96890
2020-09-09,331078,4593,230804,95681
2020-09-10,332970,4634,233550,94786
2020-09-11,334762,4668,236024,94070
2020-09-12,336044,4702,238271,93071
2020-09-13,337520,4733,240643,92144
2020-09-14,339332,4759,243155,91418
2020-09-15,341056,4802,245594,90660
2020-09-16,342671,4823,247969,89879
2020-09-17,344264,4859,250412,88993
2020-09-18,345805,4881,252335,88589
2020-09-19,347372,4913,254386,88073
2020-09-20,348918,4939,256565,87414
2020-09-21,350621,4979,258717,86925
2020-09-22,352178,5007,260790,86381
2020-09-23,353844,5044,262953,85847
2020-09-24,355384,5072,265092,85220
2020-09-25,356767,5093,267024,84650
2020-09-26,357873,5129,268777,83967
2020-09-27,359148,5161,270491,83496
2020-09-28,360555,5193,272073,83289
2020-09-29,362043,5219,273698,83126
2020-09-30,363479,5251,275487,82741
2020-10-01,364987,5272,277078,82637
2020-10-02,366383,5305,278627,82451
2020-10-03,367565,5325,280069,82171
2020-10-04,368690,5348,281656,81686
2020-10-05,370132,5375,283182,81575
2020-10-06,371631,5405,284833,81393
2020-10-07,373151,5440,286631,81080
2020-10-08,374592,5460,288316,80816
2020-10-09,375870,5477,289912,80481
2020-10-10,377073,5500,291365,80208
2020-10-11,378266,5524,292860,79882
2020-10-12,379738,5555,294391,79792
2020-10-13,381275,5577,295873,79825
2020-10-14,382959,5593,297449,79917
2020-10-15,384559,5608,299229,79722
2020-10-16,386086,5623,300738,79725
2020-10-17,387295,5646,302298,79351
2020-10-18,388569,5660,303972,78937
2020-10-19,390206,5681,305599,78926
2020-10-20,391586,5699,307141,78746
2020-10-21,393131,5723,308845,78563
2020-10-22,394827,5747,310532,78548
2020-10-23,396413,5761,312065,78587
2020-10-24,397507,5780,313563,78164
2020-10-25,398815,5803,315107,77905
2020-10-26,400251,5818,316600,77833
2020-10-27,401586,5838,318123,77625
2020-10-28,403079,5861,319733,77485
2020-10-29,404760,5886,321281,77593
2020-10-30,406364,5905,322703,77756
2020-10-31,407684,5923,324145,77616
2020-11-01,409252,5941,325940,77371
2020-11-02,410988,5966,327901,77121
2020-11-03,412647,5983,329787,76877
2020-11-04,414164,6004,331697,76463
2020-11-05,416006,6021,333588,76397
2020-11-06,417475,6036,335027,76412
2020-11-07,418764,6049,336568,76147
2020-11-08,420238,6067,338145,76026
2020-11-09,421921,6092,339768,76061
2020-11-10,423620,6108,341416,76096
2020-11-11,425353,6127,343131,76095
2020-11-12,427198,6140,344868,76190
2020-11-13,428965,6159,346387,76419
2020-11-14,430496,6173,347849,76474
2020-11-15,432333,6194,349542,76597
2020-11-16,434472,6215,351146,77111
2020-11-17,436684,6254,352895,77535
2020-11-18,438795,6275,354788,77732
2020-11-19,441159,6305,356722,78132
2020-11-20,443434,6322,358431,78681
2020-11-21,445281,6350,360352,78579
2020-11-22,447341,6388,362428,78525
2020-11-23,449760,6416,364611,78733
2020-11-24,451990,6448,366877,78665
2020-11-25,454146,6487,369179,78480
2020-11-26,456438,6524,371453,78461
2020-11-27,458711,6544,373676,78491
2020-11-28,460619,6580,375885,78154
2020-11-29,462407,6609,378172,77626
2020-11-30,464932,6644,380711,77577
2020-12-01,467225,6675,383224,77326
2020-12-02,469423,6713,385786,76924
2020-12-03,471739,6748,388379,76612
2020-12-04,473991,6772,390951,76268
2020-12-05,475789,6807,393408,75574
2020-12-06,477545,6838,395960,74747
2020-12-07,479743,6874,398623,74246
2020-12-08,481945,6906,401194,73845
2020-12-09,484104,6930,405966,71208
2020-12-10,485965,6967,410452,68546
2020-12-11,487849,6986,414318,66545
2020-12-12,489178,7020,417503,64655
2020-12-13,490533,7052,420896,62585
2020-12-14,492332,7089,423845,61398
2020-12-15,494209,7129,426729,60351
2020-12-16,495841,7156,429351,59334
2020-12-17,496975,7192,431590,58193
2020-12-18,498293,7217,433614,57462
2020-12-19,499560,7242,435601,56717
2020-12-20,500713,7280,437527,55906
2020-12-21,502183,7312,439694,55177
2020-12-22,503501,7329,441929,54243
2020-12-23,504868,7359,444345,53164
2020-12-24,506102,7378,446690,52034
2020-12-25,507265,7398,448803,51064
2020-12-26,508099,7428,450488,50183
2020-12-27,509148,7452,451961,49735
2020-12-28,510080,7479,453318,49283
2020-12-29,511261,7509,454563,49189
2020-12-30,512496,7531,456070,48895
2020-12-31,513510,7559,457459,48492
2021-01-01,514500,7576,458656,48268
2021-01-02,515184,7599,459620,47965
2021-01-03,516019,7626,460598,47795
2021-01-04,516929,7650,461515,47764
2021-01-05,517920,7670,462459,47791
2021-01-06,518898,7687,463480,47731
2021-01-07,519905,7718,464446,47741
2021-01-08,520690,7734,465279,47677
2021-01-09,521382,7756,466064,47562
2021-01-10,522453,7781,466801,47871
2021-01-11,523302,7803,467718,47781
2021-01-12,524020,7819,468681,47520
2021-01-13,524910,7833,469522,47555
2021-01-14,525723,7849,470405,47469
2021-01-15,526485,7862,471123,47500
2021-01-16,527063,7883,471756,47424
2021-01-17,527632,7906,472437,47289
2021-01-18,528329,7922,473173,47234
2021-01-19,529031,7942,473855,47234
2021-01-20,529687,7950,474472,47265
2021-01-21,530271,7966,475074,47231
2021-01-22,530890,7981,475561,47348
2021-01-23,531326,8003,475899,47424
2021-01-24,531799,8023,476413,47363
2021-01-25,532401,8041,476979,47381
2021-01-26,532916,8055,477426,47435
2021-01-27,533444,8072,477935,47437
2021-01-28,533953,8087,478546,47320
2021-01-29,534407,8094,478960,47353
2021-01-30,534770,8111,479297,47362
2021-01-31,535139,8127,479744,47268
2021-02-01,535582,8137,480216,47229
2021-02-02,536107,8149,480728,47230
2021-02-03,536545,8162,481306,47077
2021-02-04,537030,8175,481917,46938
2021-02-05,537465,8182,482424,46859
2021-02-06,537770,8190,482841,46739
2021-02-07,538062,8205,483372,46485
2021-02-08,538378,8221,483931,46226
2021-02-09,538765,8229,484573,45963
2021-02-10,539153,8239,485290,45624
2021-02-11,539531,8248,485971,45312
2021-02-12,539975,8253,486393,45329
2021-02-13,540266,8266,486767,45233
2021-02-14,540592,8274,487229,45089
2021-02-15,541038,8285,487870,44883
2021-02-16,541434,8298,488621,44515
2021-02-17,541877,8314,489254,44309
2021-02-18,542268,8329,489932,44007
2021-02-19,542674,8337,490468,43869
2021-02-20,543024,8342,490892,43790
2021-02-21,543351,8349,491367,43635
2021-02-22,543717,8356,492059,43302
2021-02-23,544116,8374,492887,42855
2021-02-24,544544,8379,493798,42367
2021-02-25,544954,8384,494755,41815
2021-02-26,545424,8395,495498,41531
2021-02-27,545831,8400,496107,41324
2021-02-28,546216,8408,496924,40884
2021-03-01,546801,8416,497797,40588
2021-03-02,547316,8423,498391,40502
2021-03-03,547930,8428,499627,39875
2021-03-04,548549,8435,500468,39646
2021-03-05,549184,8441,501144,39599
2021-03-06,549724,8451,501966,39307
2021-03-07,550330,8462,503003,38865
2021-03-08,551175,8476,504120,38579
2021-03-09,552087,8489,505349,38249
2021-03-10,553105,8496,506613,37996
2021-03-11,554156,8502,507920,37734
2021-03-12,555222,8515,509172,37535
2021-03-13,556236,8527,510310,37399
2021-03-14,557395,8545,511695,37155
2021-03-15,559168,8571,513127,37470
2021-03-16,560887,8597,514479,37811
2021-03-17,562752,8608,515989,38155
2021-03-18,564939,8624,517223,39092
2021-03-19,566838,8642,518841,39355
2021-03-20,568706,8668,520418,39620
2021-03-21,570878,8690,522105,40083
2021-03-22,573687,8720,523859,41108
2021-03-23,577241,8738,525694,42809
2021-03-24,580808,8763,527609,44436
2021-03-25,584395,8797,529594,46004
2021-03-26,588132,8830,531651,47651
2021-03-27,591806,8869,533622,49315
2021-03-28,595714,8904,535641,51169
2021-03-29,600895,8949,537718,54228
2021-03-30,605937,8994,539880,57063
2021-03-31,611295,9046,542099,60150
2021-04-01,617764,9105,544938,63721
2021-04-02,624594,9155,547411,68028
2021-04-03,630277,9213,549775,71289
2021-04-04,637364,9266,552482,75616
2021-04-05,644439,9318,555414,79707
2021-04-06,651652,9384,558383,83885
2021-04-07,659278,9447,561639,88192
2021-04-08,666132,9521,565030,91581
2021-04-09,673594,9584,568541,95469
2021-04-10,678937,9661,572378,96898
2021-04-11,684756,9739,576590,98427
2021-04-12,691957,9822,581113,101022
2021-04-13,697985,9891,585966,102128
2021-04-14,703170,9987,591299,101884
2021-04-15,707362,10081,597214,100067
2021-04-16,711779,10182,602908,98689
2021-04-17,715252,10283,608815,96154
2021-04-18,718950,10385,614936,93629
2021-04-19,723221,10497,621300,91424
2021-04-20,727780,10588,628111,89081
2021-04-21,732060,10683,635183,86194
2021-04-22,736074,10781,642449,82844
2021-04-23,739703,10869,647674,81160
2021-04-24,742400,10952,653151,78297
2021-04-25,745322,11053,657452,76817
2021-04-26,748628,11150,661693,75785
2021-04-27,751659,11228,666927,73504
2021-04-28,754614,11305,672319,70990
2021-04-29,756955,11393,677101,68461
2021-04-30,759132,11450,681426,66256
2021-05-01,760584,11510,684671,64403
2021-05-02,761943,11579,687328,63036
2021-05-03,763682,11644,691162,60876
2021-05-04,765596,11705,695032,58859
2021-05-05,767338,11755,698465,57118
2021-05-06,769160,11796,702163,55201
2021-05-07,770842,11833,704341,54668
2021-05-08,772127,11878,706833,53416
2021-05-09,773513,11934,710162,51417
2021-05-10,775027,11972,712277,50778
2021-05-11,776257,12005,715321,48931
2021-05-12,777397,12045,718249,47103
2021-05-13,778687,12076,719619,46992
2021-05-14,779535,12102,720471,46962
